index,inchikey,smiles,HOMO_calc,LUMO_calc,LUMO_calib,LUMO_calib_stds,HOMO_calib,HOMO_calib_stds,GAP_calib,molW,GAP_calc,PCE_calc,Voc_calc,Jsc_calc,FF_calc,EQE_calc,PCE_calib,Voc_calib,Jsc_calib,FF_calib,EQE_calib,PCE_cdiff,PCE_calib_plus
33340,PQTZKBMUIHEDSY-UHFFFAOYNA-N,O=C(c1ccc(-c2sc(C3COc4nsnc4O3)c3c2SCCO3)s1)c1cocc1-c1ccc2ncoc2c1,-6.0402043755173205,-2.61568362759721,-2.95514982394905,0.278537705858744,-6.170620937894781,0.22561618602478797,3.2154711139457297,593.689,3.4245207479201096,0.495038068738492,2.0843163724027898,3.6552959478555,0.65,0.65,0.75858265209092,1.74485017605095,6.69102037344,0.65,0.65,0.263544583352429,0.0
33341,ZFEXENLLMWZGQE-YNDYHMGXNA-N,N#Cc1ccc2c(c1)NC(=O)C2=c1ccc(=c2ccc(=C3C(=O)Nc4cc(-c5cc(F)cc6nsnc56)ccc43)s2)s1,-5.518829413866019,-3.9135552167823797,-3.9099406395406495,0.273714526058157,-5.58282411598055,0.223525121385835,1.6728834764398999,603.685,1.6052741970836397,8.41247812646208,0.7864447832176199,164.62784728129998,0.65,0.65,7.7909605367433,0.7900593604593501,151.7675309696,0.65,0.65,-0.6215175897187789,3.81750684508604
33342,GRJITPXSFDAXQR-MJHPXVFFNA-N,O=C1Nc2ccccc2C1=c1ccc(=c2ccc(=C3C(=O)Nc4cc(-c5c(F)ccc6nsnc56)ccc43)s2)s1,-5.170163055,-3.5550738267470003,-3.68557768633225,0.271136345763232,-5.2525872973555705,0.221527451077095,1.56700961102332,578.675,1.615089228253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33343,XDZFAZNMBNMERC-YNDYHMGXNA-N,N#Cc1ccc2c(c1)NC(=O)C2=c1ccc(=c2ccc(=C3C(=O)Nc4cc(-c5c(F)ccc6nsnc56)ccc43)s2)s1,-5.4422769,-3.8466070546265603,-3.9045302140844305,0.26837368348449,-5.505030700027209,0.22111519818049805,1.60050048594278,603.685,1.5956698453734401,9.26119064385457,0.8533929453734399,167.0188015782,0.65,0.65,8.55839220363849,0.795469785915569,165.58312837885,0.65,0.65,-0.702798440216077,5.09628016808541
33344,LMEMZDVTHFTBFZ-WUSLAWIHNA-N,O=C1Nc2ccccc2C1=c1ccc(=c2ccc(=C3C(=O)Nc4cc([SiH]5C=C6OCCOC6=C5)ccc43)s2)s1,-5.170163055,-3.50461738670143,-3.8492157724123994,0.281823813846826,-5.28175998861486,0.227031340174377,1.43254421620246,564.72,1.6655456682985703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33345,AQUBAWZGXVOYJF-UBXIPSODNA-N,N#Cc1ccc2c(c1)NC(=O)C2=c1ccc(=c2ccc(=C3C(=O)Nc4cc([SiH]5C=C6OCCOC6=C5)ccc43)s2)s1,-5.4422769,-3.80555758596498,-4.04248096569618,0.280012336732859,-5.5240228740214405,0.226313411096572,1.48154190832526,589.73,1.6367193140350198,9.272324743504198,0.89444241403502,159.545234108,0.65,0.65,8.22832514532354,0.6575190343038199,192.5975251824,0.65,0.65,-1.04399959818066,5.04636460167059
33346,VTLANBCSPBMBKU-UHFFFAOYNA-N,C(=C1Sc2ccccc2S1)c1ccnc(C=C2Sc3ccccc3S2)n1,-5.279008593,-1.741528608,-2.07748482670104,0.287317816500907,-5.37912266727486,0.230075188457497,3.30163784057382,408.598,3.537479985,0.0,0.0,0.0,0.0,0.0,0.914780654964979,2.62251517329896,5.368420789485,0.65,0.65,0.914780654964979,0.0
33347,OBZCGPDSFDQPPS-BPGVPZAENA-N,Cn1c(=O)c2cc(-c3sc(-c4nc5ccccc5[nH]4)c4c3SCCS4)c3c(=O)n(C)c(=O)c4cc(-c5sc(-c6nc7ccccc7[nH]6)c6c5SCCS6)c(c1=O)c2c43,-5.5239110535,-3.537479985,-3.79476442147899,0.253131747048001,-5.49108507298751,0.21213134562019198,1.6963206515085199,871.11,1.9864310685,7.3409929561482405,1.162520015,97.18560794084999,0.65,0.65,8.626768524628181,0.90523557852101,146.6675770833,0.65,0.65,1.28577556847994,6.8633764594554005
33348,KQXIWDCKEXXTGV-UHFFFAOYNA-N,O=C(n1ccnc1)n1ccnc1-c1nccc(C=Cc2ccc(C(=C(c3ccccc3)c3ccc(C=Cc4ccnc(-c5nccn5C(=O)n5ccnc5)n4)cc3)c3ccccc3)cc2)n1,-5.6494763890361295,-2.73163006500925,-3.1690346514844103,0.28586042297222997,-5.745213368381861,0.229346285884492,2.57617871689745,860.942,2.9178463240268795,1.94675892611553,1.96836993499075,15.221345326135001,0.65,0.65,3.4639481028206403,1.53096534851559,34.821991314565004,0.65,0.65,1.5171891767051002,1.37668416102364
33349,LRVCBMUEBPSJBZ-UHFFFAOYNA-N,O=C(c1ccc(C2COc3nsnc3O2)s1)c1ccoc1-c1cnc(-c2c(F)ccc3nsnc23)nc1,-6.39098593126972,-2.87966727260225,-3.12641926742805,0.278653797247896,-6.523120851205291,0.22593322545051803,3.3967015837772405,550.578,3.51131865866747,0.32602225083937103,1.82033272739775,2.7564114887335003,0.65,0.65,0.409380167298386,1.57358073257195,4.0039196822365,0.65,0.65,0.083357916459015,0.0
33350,HSCGVXFSHCWROW-QQYWGXKINA-N,O=C1Nc2ccccc2C1=c1ccc(=c2ccc(=C3C(=O)Nc4cc(-c5c(F)c(F)cc(F)c5F)ccc43)s2)s1,-5.29312182544629,-3.61809905810742,-3.78917196283864,0.27446676700773703,-5.397758177249741,0.223111770563505,1.6085862144111,574.58,1.6750227673388702,0.0,0.0,0.0,0.0,0.0,9.68668219161682,0.91082803716136,163.67646916985,0.65,0.65,9.68668219161682,7.208970643325539
33351,XCTNQHKLRJVILG-PHLAQJRANA-N,N#Cc1ccc2c(c1)NC(=O)C2=c1ccc(=c2ccc(=C3C(=O)Nc4cc(-c5c(F)c(F)cc(F)c5F)ccc43)s2)s1,-5.5617537628846705,-3.9243881027306604,-4.01403922503107,0.272709756556563,-5.64178277868739,0.223151305901693,1.62774355365632,599.59,1.63736566015401,8.0404565722273,0.7756118972693391,159.545234108,0.65,0.65,7.15673713114892,0.68596077496893,160.56961669125,0.65,0.65,-0.883719441078386,3.07789216631564
33352,HNWUUFDOTZAPNL-UHFFFAOYNA-N,C1=C2OCCOC2=C[SiH]1c1ccnc(-c2sc(C3COc4nsnc4O3)c3c2SCCO3)n1,-5.89419248843091,-2.0086237093896897,-2.40628690703698,0.289842935460299,-6.06172873886163,0.23135007209396202,3.65544183182465,516.658,3.88556877904122,0.040992431654341,2.69137629061031,0.23441038395645,0.65,0.65,0.22424059112192002,2.29371309296302,1.5046057707395,0.65,0.65,0.18324815946757897,0.0
33353,FEIIEXGSOWPBKD-UBXIPSODNA-N,N#Cc1csc(C#N)c1-c1ccc2c(c1)NC(=O)C2=c1ccc(=c2ccc(=C3C(=O)Nc4ccccc43)s2)s1,-5.3606427465,-3.6911234365510297,-3.8797943396515095,0.27258027083215697,-5.459852870423241,0.222014063354613,1.5800585307717299,558.669,1.66951930994897,9.98010110514802,1.00887656344897,152.24551053075,0.65,0.65,9.07892112829651,0.8202056603484901,170.35664102405002,0.65,0.65,-0.901179976851511,6.14857645434967
33354,PDJLTQDUKVVPQM-QQYWGXKINA-N,N#Cc1ccc2c(c1)NC(=O)C2=c1ccc(=c2ccc(=C3C(=O)Nc4cc(-c5c(C#N)csc5C#N)ccc43)s2)s1,-5.6327565915,-3.9907185709823705,-4.13846753855961,0.27518966108784804,-5.73757518624886,0.22397437408836,1.59910764768925,583.679,1.64203802051763,7.308053056164299,0.709281429017629,158.57352846335,0.65,0.65,6.0589613456681395,0.56153246144039,166.062243802,0.65,0.65,-1.2490917104961599,2.9346648607681503
33355,WJRMYGVPSQFXBC-SREBMQDQNA-N,N#Cc1ccc2sc(-c3nccc(C=CC4COc5nsnc5O4)n3)c(-c3nocc3C(=O)O)c2c1,-6.578935543553951,-2.68499060748245,-2.9489418755585297,0.276702842308035,-6.72310709603294,0.224980248491523,3.7741652204744103,516.52,3.8939449360715,0.026359530571291,2.01500939251755,0.2013298565642,0.65,0.65,0.080966079108197,1.7510581244414698,0.7116232575725,0.65,0.65,0.054606548536906004,0.0
33356,FDGGBYUKLAHSPL-LBOYIXSDNA-N,Cc1nc2c(-c3ncnc(-c4sccc4C(=O)O)n3)sc(C3COc4nsnc4O3)c2nc1C,-6.720085587146451,-3.3135706287611604,-3.7063291358191903,0.279449774004449,-6.866853932196679,0.226438033606215,3.1605247963774903,511.57,3.40651495838529,0.344579855148539,1.3864293712388402,3.8250729396295,0.65,0.65,0.49398194956126207,0.99367086418081,7.650963165365,0.65,0.65,0.14940209441272198,0.0
33357,INKPGPGXRYWVGZ-LBOYIXSDNA-N,O=C(O)c1cscc1-c1ccnc(-c2c(F)c(F)c(C3COc4nsnc4O3)c(F)c2F)n1,-6.58544508734119,-2.2046373448357,-2.5117636647886004,0.286167303784693,-6.734665822837501,0.22924315873113396,4.2229021580489,496.423,4.38080774250549,5.05795206408798e-19,2.4953626551643,3.1195261102069995e-18,0.65,0.65,6.65359734926549e-08,2.1882363352114,4.679612340052e-07,0.65,0.65,6.653597349214911e-08,0.0
33358,KVTZDZHRLMWCDK-LBOYIXSDNA-N,Cc1nc2csc(-c3ncnc(-c4scc(C5COc6nsnc6O5)c4C(=O)O)n3)c2nc1C,-6.38989632861252,-3.28083220061834,-3.59619310706002,0.28414102776523303,-6.48615276719926,0.22897349574425302,2.88995966013924,511.57,3.10906412799418,0.7897245361173871,1.4191677993816598,8.564252636810002,0.65,0.65,1.18373384200543,1.10380689293998,16.504734758915,0.65,0.65,0.394009305888045,1.73475378451966
